Disease,ID
Duchenne Muscular Dystrophy,HMDB0001539
Colorectal cancer,HMDB0001539
Autosomal  dominant polycystic kidney disease,HMDB0001539
Sepsis,HMDB0005006
Colorectal cancer,HMDB0005006
Stomach cancer,HMDB0000784
Colorectal cancer,HMDB0000784
Attachment loss,HMDB0000784
Missing teeth,HMDB0000784
Periodontal Probing Depth,HMDB0000784
Eosinophilic esophagitis,HMDB0000784
Colorectal cancer,HMDB0000944
Obesity,HMDB0000944
Schizophrenia,HMDB0001870
Asthma,HMDB0001870
Colorectal cancer,HMDB0001870
Metastatic melanoma,HMDB0001870
Perillyl alcohol administration for cancer treatment,HMDB0001870
Eosinophilic esophagitis,HMDB0001870
Chronic renal failure,HMDB0000043
Continuous ambulatory peritoneal dialysis,HMDB0000043
Hemodialysis,HMDB0000043
Colorectal cancer,HMDB0000043
Schizophrenia,HMDB0000043
Early preeclampsia,HMDB0000043
Pregnancy,HMDB0000043
Late-onset preeclampsia,HMDB0000043
Hypermethioninemia,HMDB0000043
Crohn's disease,HMDB0000043
Ulcerative colitis,HMDB0000043
Perillyl alcohol administration for cancer treatment,HMDB0000043
Pancreatic cancer,HMDB0000043
Periodontal disease,HMDB0000043
Alzheimer's disease,HMDB0000043
Frontotemporal dementia,HMDB0000043
Lewy body disease,HMDB0000043
Lung Cancer,HMDB0000043
Argininosuccinic aciduria,HMDB0000043
Propionic acidemia,HMDB0000043
Phenylketonuria,HMDB0000043
Maple syrup urine disease,HMDB0000043
Eosinophilic esophagitis,HMDB0000043
Dimethylglycine Dehydrogenase Deficiency,HMDB0000043
Crohn's disease,HMDB0000054
Gallbladder disease,HMDB0000054
Growth hormone deficiency,HMDB0000054
Crigler-Najjar syndrome type I,HMDB0000054
Primary hypomagnesemia,HMDB0000054
"Anemia, congenital dyserythropoietic, type II",HMDB0000054
Lathosterolosis,HMDB0000054
Glucose-6-phosphate dehydrogenase deficiency,HMDB0000054
"Cholestasis, progressive familial intrahepatic, 1",HMDB0000054
Donohue Syndrome,HMDB0000054
"Citrullinemia type II, neonatal-onset",HMDB0000054
Infantile Liver Failure Syndrome 2,HMDB0000054
"Bile Acid Synthesis Defect, Congenital, 1",HMDB0000054
Lecithin:cholesterol Acyltransferase Deficiency,HMDB0000054
Wolcott-Rallison syndrome,HMDB0000054
Cerebral vasospasm,HMDB0000054
Colorectal cancer,HMDB0000054
Colorectal cancer,HMDB0001008
Acute Lymphoblastic Leukemia,HMDB0000030
Dementia,HMDB0000030
Epilepsy,HMDB0000030
Head injury,HMDB0000030
Motor neuron disease,HMDB0000030
Multiple sclerosis,HMDB0000030
Colorectal cancer,HMDB0000030
Eosinophilic esophagitis,HMDB0000030
Prostate cancer,HMDB0004246
Colorectal cancer,HMDB0041842
Asthma,HMDB0000039
Crohn's disease,HMDB0000039
Ulcerative colitis,HMDB0000039
Colorectal cancer,HMDB0000039
Irritable bowel syndrome,HMDB0000039
Nonalcoholic fatty liver disease,HMDB0000039
Celiac disease,HMDB0000039
Autism,HMDB0000039
Pervasive developmental disorder not otherwise specified,HMDB0000039
Bladder infections,HMDB0000039
Diverticular disease,HMDB0000039
Rheumatoid arthritis,HMDB0000039
Enteritis,HMDB0000039
AIDS,HMDB0000039
Eosinophilic esophagitis,HMDB0000039
Kidney disease,HMDB0002322
Irritable bowel syndrome,HMDB0002322
Ulcerative colitis,HMDB0002322
Colorectal cancer,HMDB0002322
Crohn's disease,HMDB0002322
Perillyl alcohol administration for cancer treatment,HMDB0002322
Pancreatic cancer,HMDB0002322
Periodontal disease,HMDB0002322
Thyroid cancer,HMDB0002322
Leukemia,HMDB0002322
Colorectal cancer,HMDB0001964
Head injury,HMDB0001847
Colorectal cancer,HMDB0001847
Metastatic melanoma,HMDB0001847
Asthma,HMDB0001847
Eosinophilic esophagitis,HMDB0001847
Sitosterolemia,HMDB0002869
Colorectal cancer,HMDB0002869
Colorectal cancer,HMDB0000511
Metastatic melanoma,HMDB0000511
Cystic fibrosis,HMDB0000511
Perillyl alcohol administration for cancer treatment,HMDB0000511
Eosinophilic esophagitis,HMDB0000511
Ulcerative colitis,HMDB0061883
Irritable bowel syndrome,HMDB0061883
Nonalcoholic fatty liver disease,HMDB0061883
Celiac disease,HMDB0061883
Autism,HMDB0061883
Pervasive developmental disorder not otherwise specified,HMDB0061883
Crohn's disease,HMDB0061883
Colorectal cancer,HMDB0061883
Clostridium difficile infection,HMDB0061883
Perillyl alcohol administration for cancer treatment,HMDB0061883
Medium Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0061883
Ulcerative colitis,HMDB0000535
Irritable bowel syndrome,HMDB0000535
Nonalcoholic fatty liver disease,HMDB0000535
Celiac disease,HMDB0000535
Autism,HMDB0000535
Pervasive developmental disorder not otherwise specified,HMDB0000535
Crohn's disease,HMDB0000535
Colorectal cancer,HMDB0000535
Clostridium difficile infection,HMDB0000535
Perillyl alcohol administration for cancer treatment,HMDB0000535
Medium Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000535
Autism,HMDB0000482
Crohn's disease,HMDB0000482
Ulcerative colitis,HMDB0000482
Colorectal cancer,HMDB0000482
Perillyl alcohol administration for cancer treatment,HMDB0000482
Medium Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000482
Colorectal cancer,HMDB0002780
