Condition,ID,Metabolite
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000251,Taurine
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000562,Creatinine
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000641,L-Glutamine
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000714,Hippuric acid
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000925,Trimethylamine N-oxide
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0062583,N-benzoylglycinate
3-hydroxy-3-methylglutaric- coenzyme a lyase deficiency,HMDB0000355,3-Hydroxymethylglutaric acid
3-hydroxy-3-methylglutaric- coenzyme a lyase deficiency,HMDB0000661,Glutaric acid
3-hydroxy-3-methylglutaric- coenzyme a lyase deficiency,HMDB0000752,Methylglutaric acid
3-hydroxy-3-methylglutaric- coenzyme a lyase deficiency,HMDB0000754,3-Hydroxyisovaleric acid
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000011,3-Hydroxybutyric acid
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000062,L-Carnitine
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000122,D-Glucose
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000190,L-Lactic acid
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000243,Pyruvic acid
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000355,3-Hydroxymethylglutaric acid
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000448,Adipic acid
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000661,Glutaric acid
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000752,Methylglutaric acid
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0000754,3-Hydroxyisovaleric acid
3-hydroxy-3-methylglutaryl-coa lyase deficiency,HMDB0003345,alpha-D-Glucose
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000011,3-Hydroxybutyric acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000060,Acetoacetic acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000062,L-Carnitine
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000067,Cholesterol
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000122,D-Glucose
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000190,L-Lactic acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000243,Pyruvic acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000448,Adipic acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000661,Glutaric acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000792,Sebacic acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0000893,Suberic acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0001954,3-Hydroxyoctanoic acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0002203,3-Hydroxycapric acid
3-hydroxy-3-methylglutaryl-coa synthase deficiency,HMDB0003345,alpha-D-Glucose
3-hydroxyacyl-coa dehydrogenase deficiency (schad),HMDB0000011,3-Hydroxybutyric acid
3-hydroxyacyl-coa dehydrogenase deficiency (schad),HMDB0000062,L-Carnitine
3-hydroxyacyl-coa dehydrogenase deficiency (schad),HMDB0000122,D-Glucose
3-hydroxyacyl-coa dehydrogenase deficiency (schad),HMDB0000190,L-Lactic acid
3-hydroxyacyl-coa dehydrogenase deficiency (schad),HMDB0000201,L-Acetylcarnitine
3-hydroxyacyl-coa dehydrogenase deficiency (schad),HMDB0003345,alpha-D-Glucose
3-hydroxyacyl-coa dehydrogenase deficiency (schad),HMDB0013127,3-Hydroxybutyrylcarnitine
3-hydroxyacyl-coa dehydrogenase deficiency (schad),HMDB0059655,2-Hydroxyglutarate
3-hydroxydicarboxylic aciduria,HMDB0000011,3-Hydroxybutyric acid
3-hydroxydicarboxylic aciduria,HMDB0000413,3-Hydroxydodecanedioic acid
3-hydroxydicarboxylic aciduria,HMDB0000448,Adipic acid
3-hydroxydicarboxylic aciduria,HMDB0000623,Dodecanedioic acid
3-hydroxydicarboxylic aciduria,HMDB0000792,Sebacic acid
3-hydroxydicarboxylic aciduria,HMDB0000857,Pimelic acid
3-hydroxydicarboxylic aciduria,HMDB0000872,Tetradecanedioic acid
3-hydroxydicarboxylic aciduria,HMDB0000888,Undecanedioic acid
3-hydroxydicarboxylic aciduria,HMDB0000893,Suberic acid
3-hydroxydicarboxylic aciduria,HMDB0002203,3-Hydroxycapric acid
3-hydroxyisobutyric acid dehydrogenase deficiency,HMDB0000011,3-Hydroxybutyric acid
3-hydroxyisobutyric aciduria,HMDB0000023,(S)-3-Hydroxyisobutyric acid
3-hydroxyisobutyryl-coa hydrolase deficiency,HMDB0000190,L-Lactic acid
3-hydroxyisobutyryl-coa hydrolase deficiency,HMDB0012141,"(R)-2,3-Dihydroxy-isovalerate"
3-hydroxyisobutyryl-coa hydrolase deficiency,HMDB0013127,3-Hydroxybutyrylcarnitine
3-methyl-crotonyl-glycinuria,HMDB0000122,D-Glucose
3-methyl-crotonyl-glycinuria,HMDB0003345,alpha-D-Glucose
3-methylcrotonyl-coa carboxylase deficiency,HMDB0000123,Glycine
3-methylcrotonyl-coa carboxylase deficiency,HMDB0000201,L-Acetylcarnitine
3-methylcrotonyl-coa carboxylase deficiency,HMDB0000562,Creatinine
3-methylcrotonyl-coa carboxylase deficiency,HMDB0000754,3-Hydroxyisovaleric acid
"3-methylglutaconic aciduria (type ii), x-linked",HMDB0000243,Pyruvic acid
3-methylglutaconic aciduria (type ix),HMDB0000190,L-Lactic acid
3-methylglutaconic aciduria (type v),HMDB0000190,L-Lactic acid
3-methylglutaconic aciduria (type v),HMDB0000752,Methylglutaric acid
3-methylglutaconic aciduria (type vi),HMDB0000190,L-Lactic acid
3-methylglutaconic aciduria (type vi),HMDB0000754,3-Hydroxyisovaleric acid
3-methylglutaconic aciduria type i,HMDB0000752,Methylglutaric acid
3-methylglutaconic aciduria type i,HMDB0000754,3-Hydroxyisovaleric acid
"3-methylglutaconic aciduria type ii, x-linked",HMDB0000243,Pyruvic acid
3-phosphoglycerate dehydrogenase deficiency,HMDB0000123,Glycine
3-phosphoglycerate dehydrogenase deficiency,HMDB0000187,L-Serine
4hrs after administration of 300mg,HMDB0001929,Levofloxacin
5-oxoprolinase deficiency,HMDB0000267,Pyroglutamic acid
5hrs after administration of 750mg,HMDB0001929,Levofloxacin
abetalipoproteinemia,HMDB0000067,Cholesterol
abetalipoproteinemia,HMDB0000305,Vitamin A
abetalipoproteinemia,HMDB0001893,alpha-Tocopherol
acetaminophen overdose,HMDB0000062,L-Carnitine
acetaminophen overdose,HMDB0000201,L-Acetylcarnitine
acetaminophen overdose,HMDB0000222,Palmitoylcarnitine
acetaminophen overdose,HMDB0005065,Oleoylcarnitine
acetaminophen overdose,HMDB0010379,LysoPC(14:0/0:0)
acute ethanol intoxication,HMDB0000190,L-Lactic acid
acute infantile liver failure,HMDB0000190,L-Lactic acid
acute lymphoblastic leukemia,HMDB0000030,Biotin
acute myelogenous leukemia (aml),HMDB0000067,Cholesterol
acute myelogenous leukemia (aml),HMDB0000122,D-Glucose
acute myelogenous leukemia (aml),HMDB0003345,alpha-D-Glucose
acute seizures,HMDB0000192,L-Cystine
acute seizures,HMDB0000904,Citrulline
adenosine deaminase (ada) deficiency,HMDB0000101,Deoxyadenosine
adenosine deaminase(ada) deficiency,HMDB0000101,Deoxyadenosine
adenosine kinase deficiency,HMDB0000050,Adenosine
adenosine kinase deficiency,HMDB0000292,Xanthine
adenosine kinase deficiency,HMDB0000696,L-Methionine
adenylosuccinase deficiency,HMDB0000050,Adenosine
adenylosuccinase deficiency,HMDB0000101,Deoxyadenosine
adenylosuccinate lyase deficiency,HMDB0000289,Uric acid
adpkd,HMDB0000108,Ethanol
adpkd,HMDB0000123,Glycine
adpkd,HMDB0000142,Formic acid
adpkd,HMDB0000148,L-Glutamic acid
adpkd,HMDB0000149,Ethanolamine
adpkd,HMDB0000162,L-Proline
adpkd,HMDB0000172,L-Isoleucine
adpkd,HMDB0000177,L-Histidine
adpkd,HMDB0000182,L-Lysine
adpkd,HMDB0000187,L-Serine
adpkd,HMDB0000190,L-Lactic acid
adpkd,HMDB0000251,Taurine
adpkd,HMDB0000875,Trigonelline
adpkd,HMDB0003339,D-Glutamic acid
"adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency",HMDB0000234,Testosterone
"adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency",HMDB0001032,Dehydroepiandrosterone sulfate
"adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0000011,3-Hydroxybutyric acid
"adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0000053,Androstenedione
"adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0000122,D-Glucose
"adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0000234,Testosterone
"adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0001032,Dehydroepiandrosterone sulfate
"adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0003345,alpha-D-Glucose
"adrenal insufficiency, congenital, with 46,xy sex reversal, partial or complete",HMDB0000053,Androstenedione
"adrenal insufficiency, congenital, with 46,xy sex reversal, partial or complete",HMDB0000122,D-Glucose
"adrenal insufficiency, congenital, with 46,xy sex reversal, partial or complete",HMDB0000234,Testosterone
"adrenal insufficiency, congenital, with 46,xy sex reversal, partial or complete",HMDB0003345,alpha-D-Glucose
adrenoleukodystrophy,HMDB0000070,Pipecolic acid
adrenoleukodystrophy (ald),HMDB0000070,Pipecolic acid
adrenoleukodystrophy (ald),HMDB0000801,Phytanic acid
"adrenoleukodystrophy, x-linked",HMDB0000070,Pipecolic acid
"adrenoleukodystrophy, x-linked",HMDB0000801,Phytanic acid
adrenomyeloneuropathy,HMDB0002068,Erucic acid
after 4 -5 hours of alcohol consumption,HMDB0000108,Ethanol
after alcohol intake,HMDB0005199,(R)-Salsolinol
aids,HMDB0000039,Butyric acid
aids,HMDB0000574,L-Cysteine
aids,HMDB0000765,Mannitol
alcohol intoxication,HMDB0000108,Ethanol
alcohol intoxication,HMDB0001659,Acetone
alcoholism,HMDB0000210,Pantothenic acid
alcoholism,HMDB0000235,Thiamine
alcoholism,HMDB0000244,Riboflavin
alcoholism,HMDB0001488,Nicotinic acid
alcoholism,HMDB0006088,scyllo-Inositol
allergic asthma,HMDB0001659,Acetone
alpha-1-antitrypsin deficiency,HMDB0000138,Glycocholic acid
alpha-aminoadipic aciduria,HMDB0000321,2-Hydroxyadipic acid
alpha-aminoadipic aciduria,HMDB0000510,Aminoadipic acid
alpha-aminoadipic and alpha-ketoadipic aciduria,HMDB0000182,L-Lysine
alpha-aminoadipic and alpha-ketoadipic aciduria,HMDB0000510,Aminoadipic acid
alpha-ketoadipic aciduria,HMDB0000321,2-Hydroxyadipic acid
alpha-ketoadipic aciduria,HMDB0000510,Aminoadipic acid
alpha-methylacyl-coa racemase deficiency,HMDB0000801,Phytanic acid
alzheimer's disease,HMDB0000008,2-Hydroxybutyric acid
alzheimer's disease,HMDB0000011,3-Hydroxybutyric acid
alzheimer's disease,HMDB0000034,Adenine
alzheimer's disease,HMDB0000043,Betaine
alzheimer's disease,HMDB0000045,Adenosine monophosphate
alzheimer's disease,HMDB0000050,Adenosine
alzheimer's disease,HMDB0000056,beta-Alanine
alzheimer's disease,HMDB0000064,Creatine
alzheimer's disease,HMDB0000072,cis-Aconitic acid
alzheimer's disease,HMDB0000086,Glycerophosphocholine
alzheimer's disease,HMDB0000089,Cytidine
alzheimer's disease,HMDB0000094,Citric acid
alzheimer's disease,HMDB0000095,Cytidine monophosphate
alzheimer's disease,HMDB0000097,Choline
alzheimer's disease,HMDB0000112,gamma-Aminobutyric acid
alzheimer's disease,HMDB0000122,D-Glucose
alzheimer's disease,HMDB0000123,Glycine
alzheimer's disease,HMDB0000126,Glycerol 3-phosphate
alzheimer's disease,HMDB0000132,Guanine
alzheimer's disease,HMDB0000134,Fumaric acid
alzheimer's disease,HMDB0000148,L-Glutamic acid
alzheimer's disease,HMDB0000156,Malic acid
alzheimer's disease,HMDB0000157,Hypoxanthine
alzheimer's disease,HMDB0000158,L-Tyrosine
alzheimer's disease,HMDB0000159,L-Phenylalanine
alzheimer's disease,HMDB0000161,L-Alanine
alzheimer's disease,HMDB0000162,L-Proline
alzheimer's disease,HMDB0000167,L-Threonine
alzheimer's disease,HMDB0000168,L-Asparagine
alzheimer's disease,HMDB0000172,L-Isoleucine
alzheimer's disease,HMDB0000177,L-Histidine
alzheimer's disease,HMDB0000182,L-Lysine
alzheimer's disease,HMDB0000187,L-Serine
alzheimer's disease,HMDB0000190,L-Lactic acid
alzheimer's disease,HMDB0000191,L-Aspartic acid
alzheimer's disease,HMDB0000192,L-Cystine
alzheimer's disease,HMDB0000194,Anserine
alzheimer's disease,HMDB0000211,myo-Inositol
alzheimer's disease,HMDB0000214,Ornithine
alzheimer's disease,HMDB0000243,Pyruvic acid
alzheimer's disease,HMDB0000247,Sorbitol
alzheimer's disease,HMDB0000254,Succinic acid
alzheimer's disease,HMDB0000271,Sarcosine
alzheimer's disease,HMDB0000450,5-Hydroxylysine
alzheimer's disease,HMDB0000452,L-alpha-Aminobutyric acid
alzheimer's disease,HMDB0000479,3-Methylhistidine
alzheimer's disease,HMDB0000508,Ribitol
alzheimer's disease,HMDB0000517,L-Arginine
alzheimer's disease,HMDB0000562,Creatinine
alzheimer's disease,HMDB0000574,L-Cysteine
alzheimer's disease,HMDB0000641,L-Glutamine
alzheimer's disease,HMDB0000687,L-Leucine
alzheimer's disease,HMDB0000721,Glycylproline
alzheimer's disease,HMDB0000725,4-Hydroxyproline
alzheimer's disease,HMDB0000742,Homocysteine
alzheimer's disease,HMDB0000744,Malate
alzheimer's disease,HMDB0000765,Mannitol
alzheimer's disease,HMDB0000883,L-Valine
alzheimer's disease,HMDB0000904,Citrulline
alzheimer's disease,HMDB0000929,L-Tryptophan
alzheimer's disease,HMDB0001032,Dehydroepiandrosterone sulfate
alzheimer's disease,HMDB0001257,Spermidine
alzheimer's disease,HMDB0001336,"3,4-Dihydroxybenzeneacetic acid"
alzheimer's disease,HMDB0001401,Glucose 6-phosphate
alzheimer's disease,HMDB0001414,Putrescine
alzheimer's disease,HMDB0001565,Phosphorylcholine
alzheimer's disease,HMDB0001851,L-Arabitol
alzheimer's disease,HMDB0002032,8-Hydroxyguanine
alzheimer's disease,HMDB0002712,"1,5-Anhydrosorbitol"
alzheimer's disease,HMDB0003339,D-Glutamic acid
alzheimer's disease,HMDB0003345,alpha-D-Glucose
alzheimer's disease,HMDB0004362,4-Hydroxynonenal
aminoaciduria,HMDB0000042,Acetic acid
aminoaciduria,HMDB0000043,Betaine
aminoaciduria,HMDB0000123,Glycine
aminoaciduria,HMDB0000149,Ethanolamine
aminoaciduria,HMDB0000177,L-Histidine
aminoaciduria,HMDB0000182,L-Lysine
aminoaciduria,HMDB0000251,Taurine
aminoaciduria,HMDB0000517,L-Arginine
aminoaciduria,HMDB0000562,Creatinine
aminoaciduria,HMDB0000641,L-Glutamine
aminoacylase i deficiency,HMDB0000532,Acetylglycine
amish lethal microcephaly,HMDB0000072,cis-Aconitic acid
amish lethal microcephaly,HMDB0000094,Citric acid
amish lethal microcephaly,HMDB0000134,Fumaric acid
amish lethal microcephaly,HMDB0000161,L-Alanine
amish lethal microcephaly,HMDB0000190,L-Lactic acid
amish lethal microcephaly,HMDB0000208,Oxoglutaric acid
amish lethal microcephaly,HMDB0000958,trans-Aconitic acid
amish lethal microcephaly,HMDB0062561,trizma acetate
amyotrophic lateral sclerosis,HMDB0000742,Homocysteine
anemia,HMDB0000070,Pipecolic acid
anemia,HMDB0000715,Kynurenic acid
"anemia, congenital dyserythropoietic, type ii",HMDB0000054,Bilirubin
ankylosing spondylitis,HMDB0000039,Butyric acid
ankylosing spondylitis,HMDB0000097,Choline
ankylosing spondylitis,HMDB0000122,D-Glucose
ankylosing spondylitis,HMDB0000134,Fumaric acid
ankylosing spondylitis,HMDB0000142,Formic acid
ankylosing spondylitis,HMDB0000157,Hypoxanthine
ankylosing spondylitis,HMDB0000159,L-Phenylalanine
ankylosing spondylitis,HMDB0000161,L-Alanine
ankylosing spondylitis,HMDB0000162,L-Proline
ankylosing spondylitis,HMDB0000167,L-Threonine
ankylosing spondylitis,HMDB0000237,Propionic acid
ankylosing spondylitis,HMDB0000251,Taurine
ankylosing spondylitis,HMDB0000687,L-Leucine
ankylosing spondylitis,HMDB0000695,Ketoleucine
ankylosing spondylitis,HMDB0000696,L-Methionine
ankylosing spondylitis,HMDB0000883,L-Valine
ankylosing spondylitis,HMDB0000904,Citrulline
ankylosing spondylitis,HMDB0000929,L-Tryptophan
ankylosing spondylitis,HMDB0003345,alpha-D-Glucose
anorexia,HMDB0000197,Indoleacetic acid
anorexia nervosa,HMDB0000244,Riboflavin
anorexia nervosa,HMDB0000448,Adipic acid
anorexia nervosa,HMDB0000661,Glutaric acid
anorexia nervosa,HMDB0000678,Isovalerylglycine
anorexia nervosa,HMDB0000893,Suberic acid
anorexia nervosa,HMDB0001248,FAD
anorexia nervosa,HMDB0001520,Flavin mononucleotide
anoxia,HMDB0000011,3-Hydroxybutyric acid
anoxia,HMDB0000060,Acetoacetic acid
anoxia,HMDB0000148,L-Glutamic acid
anoxia,HMDB0000156,Malic acid
anoxia,HMDB0000190,L-Lactic acid
anoxia,HMDB0000208,Oxoglutaric acid
anoxia,HMDB0000243,Pyruvic acid
anoxia,HMDB0000744,Malate
apolipoprotein c-ii deficiency,HMDB0000067,Cholesterol
appendicitis,HMDB0000197,Indoleacetic acid
arginase deficiency,HMDB0000296,Uridine
arginase deficiency,HMDB0000300,Uracil
argininemia,HMDB0000300,Uracil
argininemia,HMDB0000517,L-Arginine
argininosuccinic aciduria,HMDB0000904,Citrulline
argininosuccinic aciduria (asl),HMDB0000042,Acetic acid
argininosuccinic aciduria (asl),HMDB0000043,Betaine
argininosuccinic aciduria (asl),HMDB0000094,Citric acid
argininosuccinic aciduria (asl),HMDB0000123,Glycine
argininosuccinic aciduria (asl),HMDB0000177,L-Histidine
argininosuccinic aciduria (asl),HMDB0000517,L-Arginine
argininosuccinic aciduria (asl),HMDB0000714,Hippuric acid
argininosuccinic aciduria (asl),HMDB0000904,Citrulline
argininosuccinic aciduria (asl),HMDB0000925,Trimethylamine N-oxide
argininosuccinic aciduria (asl),HMDB0062583,N-benzoylglycinate
arginosuccinic aciduria,HMDB0000562,Creatinine
aromatase deficiency,HMDB0000234,Testosterone
aromatase deficiency,HMDB0001032,Dehydroepiandrosterone sulfate
aromatic l-amino acid decarboxylase deficiency,HMDB0000259,Serotonin
aromatic l-amino acid decarboxylase deficiency,HMDB0000291,Vanillylmandelic acid
aromatic l-amino acid decarboxylase deficiency,HMDB0000472,5-Hydroxy-L-tryptophan
aromatic l-amino acid decarboxylase deficiency,HMDB0000866,N-Acetyl-L-tyrosine
asthma,HMDB0000039,Butyric acid
asthma,HMDB0000042,Acetic acid
asthma,HMDB0000665,Leucinic acid
asthma,HMDB0000892,Valeric acid
asthma,HMDB0001659,Acetone
asthma,HMDB0001847,Caffeine
asthma,HMDB0001857,"1,3-Dimethyluric acid"
asthma,HMDB0001860,Paraxanthine
asthma,HMDB0001870,Benzoic acid
asthma,HMDB0001881,Propylene glycol
asthma,HMDB0001886,3-Methylxanthine
asthma,HMDB0001889,Theophylline
asthma,HMDB0001991,7-Methylxanthine
asthma,HMDB0002123,"1,3,7-Trimethyluric acid"
asthma,HMDB0002825,Theobromine
asthma,HMDB0010738,1-Methylxanthine
asthma,HMDB0011103,"1,7-Dimethyluric acid"
asthma,HMDB0028744,Asparaginyl-Valine
asthma,HMDB0028854,Glycylvaline
asthma,HMDB0028900,Isoleucyl-Alanine
asthma,HMDB0061890,Pyroglutamylglycine
asymptomatic diverticulosis,HMDB0000039,Butyric acid
asymptomatic diverticulosis,HMDB0000042,Acetic acid
asymptomatic diverticulosis,HMDB0000097,Choline
asymptomatic diverticulosis,HMDB0000108,Ethanol
asymptomatic diverticulosis,HMDB0000122,D-Glucose
asymptomatic diverticulosis,HMDB0000123,Glycine
asymptomatic diverticulosis,HMDB0000134,Fumaric acid
asymptomatic diverticulosis,HMDB0000142,Formic acid
asymptomatic diverticulosis,HMDB0000148,L-Glutamic acid
asymptomatic diverticulosis,HMDB0000161,L-Alanine
asymptomatic diverticulosis,HMDB0000215,N-Acetyl-D-glucosamine
asymptomatic diverticulosis,HMDB0000300,Uracil
asymptomatic diverticulosis,HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid
asymptomatic diverticulosis,HMDB0000696,L-Methionine
asymptomatic diverticulosis,HMDB0000718,Isovaleric acid
asymptomatic diverticulosis,HMDB0000883,L-Valine
asymptomatic diverticulosis,HMDB0000892,Valeric acid
asymptomatic diverticulosis,HMDB0000906,Trimethylamine
asymptomatic diverticulosis,HMDB0001406,Niacinamide
asymptomatic diverticulosis,HMDB0003345,alpha-D-Glucose
attachment loss,HMDB0000034,Adenine
attachment loss,HMDB0000045,Adenosine monophosphate
attachment loss,HMDB0000062,L-Carnitine
attachment loss,HMDB0000064,Creatine
attachment loss,HMDB0000071,Deoxyinosine
attachment loss,HMDB0000086,Glycerophosphocholine
attachment loss,HMDB0000089,Cytidine
attachment loss,HMDB0000133,Guanosine
attachment loss,HMDB0000156,Malic acid
attachment loss,HMDB0000157,Hypoxanthine
attachment loss,HMDB0000158,L-Tyrosine
attachment loss,HMDB0000159,L-Phenylalanine
attachment loss,HMDB0000162,L-Proline
attachment loss,HMDB0000167,L-Threonine
attachment loss,HMDB0000172,L-Isoleucine
attachment loss,HMDB0000182,L-Lysine
attachment loss,HMDB0000190,L-Lactic acid
attachment loss,HMDB0000191,L-Aspartic acid
attachment loss,HMDB0000195,Inosine
attachment loss,HMDB0000201,L-Acetylcarnitine
attachment loss,HMDB0000206,N6-Acetyl-L-lysine
attachment loss,HMDB0000209,Phenylacetic acid
attachment loss,HMDB0000224,O-Phosphoethanolamine
attachment loss,HMDB0000254,Succinic acid
attachment loss,HMDB0000258,Sucrose
attachment loss,HMDB0000273,Thymidine
attachment loss,HMDB0000300,Uracil
attachment loss,HMDB0000306,Tyramine
attachment loss,HMDB0000491,3-Methyl-2-oxovaleric acid
attachment loss,HMDB0000517,L-Arginine
attachment loss,HMDB0000687,L-Leucine
attachment loss,HMDB0000689,Isocaproic acid
attachment loss,HMDB0000695,Ketoleucine
attachment loss,HMDB0000707,4-Hydroxyphenylpyruvic acid
attachment loss,HMDB0000710,4-Hydroxybutyric acid
attachment loss,HMDB0000718,Isovaleric acid
attachment loss,HMDB0000720,Levulinic acid
attachment loss,HMDB0000725,4-Hydroxyproline
attachment loss,HMDB0000744,Malate
attachment loss,HMDB0000754,3-Hydroxyisovaleric acid
attachment loss,HMDB0000764,Hydrocinnamic acid
attachment loss,HMDB0000779,Phenyllactic acid
attachment loss,HMDB0000784,Azelaic acid
attachment loss,HMDB0000883,L-Valine
attachment loss,HMDB0000904,Citrulline
attachment loss,HMDB0000929,L-Tryptophan
attachment loss,HMDB0001202,dCMP
attachment loss,HMDB0001488,Nicotinic acid
attachment loss,HMDB0002199,Desaminotyrosine
attachment loss,HMDB0002712,"1,5-Anhydrosorbitol"
attachment loss,HMDB0002925,Dihomo-gamma-linolenic acid
attachment loss,HMDB0011178,Prolylglycine
attachment loss,HMDB0012141,"(R)-2,3-Dihydroxy-isovalerate"
attachment loss,HMDB0012308,Vanillin
attachment loss,HMDB0028907,Isoleucyl-Glycine
attachment loss,HMDB0062562,Trans-urocanate
autism,HMDB0000039,Butyric acid
autism,HMDB0000042,Acetic acid
autism,HMDB0000108,Ethanol
