Metabolite,Biospecimen,Concentration,Patient Status,Age,Sex,Disease
Uridine (HMDB0000296),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-alpha-Aminobutyric acid (HMDB0000452),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxybutyric acid (HMDB0000008),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxybutyric acid (HMDB0000011),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxyproline (HMDB0000725),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
6-Phosphogluconic acid (HMDB0001316),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetic acid (HMDB0000042),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Acetylcarnitine (HMDB0000201),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Arginine (HMDB0000517),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Asparagine (HMDB0000168),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Aspartic acid (HMDB0000191),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Betaine (HMDB0000043),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Carnitine (HMDB0000062),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citric acid (HMDB0000094),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Creatine (HMDB0000064),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Cystine (HMDB0000192),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Elaidic acid (HMDB0000573),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Fumaric acid (HMDB0000134),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamic acid (HMDB0000148),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamine (HMDB0000641),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycerol (HMDB0000131),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycine (HMDB0000123),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Hippuric acid (HMDB0000714),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Histidine (HMDB0000177),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Kynurenic acid (HMDB0000715),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lactic acid (HMDB0000190),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Leucine (HMDB0000687),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tetracosanoic acid (HMDB0002003),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lysine (HMDB0000182),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Malic acid (HMDB0000156),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Methionine (HMDB0000696),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleamide (HMDB0002117),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleic acid (HMDB0000207),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ornithine (HMDB0000214),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitic acid (HMDB0000220),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Phenylalanine (HMDB0000159),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyruvic acid (HMDB0000243),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ribitol (HMDB0000508),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Serine (HMDB0000187),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sphinganine (HMDB0000269),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonine (HMDB0000167),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Threonic acid (HMDB0000943),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Trimethylamine N-oxide (HMDB0000925),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tryptophan (HMDB0000929),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tyrosine (HMDB0000158),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Urea (HMDB0000294),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uridine (HMDB0000296),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamine (HMDB0000641),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenol (HMDB0000228),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Linoleic acid (HMDB0000673),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetic acid (HMDB0000042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Butyric acid (HMDB0000039),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Cysteine (HMDB0000574),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Glutamic acid (HMDB0003339),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lactic acid (HMDB0000190),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Leucine (HMDB0000687),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Propionic acid (HMDB0000237),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetic acid (HMDB0000042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Aspartic acid (HMDB0000191),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylacetic acid (HMDB0000209),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Butyric acid (HMDB0000039),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Elaidic acid (HMDB0000573),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamic acid (HMDB0000148),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycerol (HMDB0000131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycine (HMDB0000123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isobutyric acid (HMDB0001873),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isovaleric acid (HMDB0000718),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Leucine (HMDB0000687),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Linoleic acid (HMDB0000673),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lysine (HMDB0000182),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Myristic acid (HMDB0000806),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleic acid (HMDB0000207),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pantothenic acid (HMDB0000210),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Phenylalanine (HMDB0000159),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Propionic acid (HMDB0000237),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Serine (HMDB0000187),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonine (HMDB0000167),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ursodeoxycholic acid (HMDB0000946),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valeric acid (HMDB0000892),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Fructose (HMDB0000660),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Linoleic acid (HMDB0000673),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nicotinic acid (HMDB0001488),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetic acid (HMDB0000042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Aspartic acid (HMDB0000191),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Cysteine (HMDB0000574),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Elaidic acid (HMDB0000573),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamic acid (HMDB0000148),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycerol (HMDB0000131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycine (HMDB0000123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Leucine (HMDB0000687),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Linoleic acid (HMDB0000673),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lysine (HMDB0000182),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Myristic acid (HMDB0000806),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleic acid (HMDB0000207),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Phenylalanine (HMDB0000159),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Serine (HMDB0000187),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonine (HMDB0000167),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Butyric acid (HMDB0000039),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetic acid (HMDB0000042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycine (HMDB0000123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycerol (HMDB0000131),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamic acid (HMDB0000148),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Phenylalanine (HMDB0000159),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonine (HMDB0000167),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lysine (HMDB0000182),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Serine (HMDB0000187),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Oleic acid (HMDB0000207),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Phenylacetic acid (HMDB0000209),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pantothenic acid (HMDB0000210),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Propionic acid (HMDB0000237),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Elaidic acid (HMDB0000573),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Linoleic acid (HMDB0000673),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Leucine (HMDB0000687),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Myristic acid (HMDB0000806),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ursodeoxycholic acid (HMDB0000946),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Aspartic acid (HMDB0006483),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Histidine (HMDB0000177),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Furoylglycine (HMDB0000439),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stigmastanol (HMDB0000494),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Mandelic acid (HMDB0000703),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pterin (HMDB0000802),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Aminobenzoic acid (HMDB0001392),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
gamma-Tocopherol (HMDB0001492),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetaminophen (HMDB0001859),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-Tocopherol (HMDB0001893),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Heme (HMDB0003178),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Hydroxybenzaldehyde (HMDB0011718),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Dehydrocarnitine (HMDB0012154),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylhistidine (HMDB0028689),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanylleucine (HMDB0028691),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Alanyltryptophan (HMDB0013209),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylalanine (HMDB0028878),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylglycine (HMDB0028885),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Histidylphenylalanine (HMDB0028892),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Glutamate (HMDB0028928),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Serine (HMDB0028938),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Leucyl-Tryptophan (HMDB0028940),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Prolyl-Alanine (HMDB0029010),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tryptophyl-Glycine (HMDB0029083),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosyl-Glutamine (HMDB0029103),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylaspartic acid (HMDB0029123),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valylhistidine (HMDB0029129),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
SM(d18:1/16:0) (HMDB0010169),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyroglutamylglycine (HMDB0061890),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxyacetaminophen sulfate (HMDB0062547),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyuridine (HMDB0000012),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyguanosine (HMDB0000085),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Cytidine (HMDB0000089),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycerol 3-phosphate (HMDB0000126),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Guanine (HMDB0000132),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Guanosine (HMDB0000133),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Fumaric acid (HMDB0000134),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycocholic acid (HMDB0000138),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamic acid (HMDB0000148),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Indoleacetic acid (HMDB0000197),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pantothenic acid (HMDB0000210),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyruvic acid (HMDB0000243),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Squalene (HMDB0000256),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Thymidine (HMDB0000273),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Uridine (HMDB0000296),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"3,4-Dihydroxyhydrocinnamic acid (HMDB0000423)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Adipic acid (HMDB0000448),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Stigmastanol (HMDB0000494),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Creatinine (HMDB0000562),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isocaproic acid (HMDB0000689),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Mandelic acid (HMDB0000703),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isovaleric acid (HMDB0000718),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Homoserine (HMDB0000719),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Lithocholic acid (HMDB0000761),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pseudouridine (HMDB0000767),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sebacic acid (HMDB0000792),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
beta-Sitosterol (HMDB0000852),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tetradecanedioic acid (HMDB0000872),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Valeric acid (HMDB0000892),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
7-Methylguanine (HMDB0000897),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Citrulline (HMDB0000904),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Formyl-L-methionine (HMDB0001015),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-Acetyl-L-glutamic acid (HMDB0001138),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Lanosterol (HMDB0001251),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"N6,N6,N6-Trimethyl-L-lysine (HMDB0001325)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Nicotinic acid (HMDB0001488),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetaminophen (HMDB0001859),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Myristoleic acid (HMDB0002000),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,3,7-Trimethyluric acid (HMDB0002123)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
3-Hydroxycapric acid (HMDB0002203),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Erythritol (HMDB0002994),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Quinic acid (HMDB0003072),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitoleic acid (HMDB0003229),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Allothreonine (HMDB0004041),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Tyrosol (HMDB0004284),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
N-methylphenylalanine (HMDB0029224),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Isopalmitic acid (HMDB0031068),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Palmitoyl sphingomyelin (HMDB0061712),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Caproic acid (HMDB0000535),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
8-Hydroxyoctanoate (HMDB0061914),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Butyric acid (HMDB0000039),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Acetic acid (HMDB0000042),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Dimethylglycine (HMDB0000092),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
D-Glucose (HMDB0000122),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamic acid (HMDB0000148),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Proline (HMDB0000162),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Isoleucine (HMDB0000172),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lactic acid (HMDB0000190),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Propionic acid (HMDB0000237),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Succinic acid (HMDB0000254),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Glutamine (HMDB0000641),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Leucine (HMDB0000687),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
"1,3-Diaminopropane (HMDB0000002)",Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
2-Hydroxybutyric acid (HMDB0000008),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Deoxyuridine (HMDB0000012),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
4-Pyridoxic acid (HMDB0000017),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
alpha-Ketoisovaleric acid (HMDB0000019),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
p-Hydroxyphenylacetic acid (HMDB0000020),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Ureidopropionic acid (HMDB0000026),Feces,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
