Biospecimen,Status,Value,Age,Sex,Condition,Reference,Details,ID
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0001857
Urine,Detected and Quantified,9.167 +/- 9.245 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0001857
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0001857
Urine,Detected and Quantified,33.0 (21.8-52.0) umol/mmol creatinine,Adult (>18 years old),Both,Asthma,15537072,details,HMDB0001857
Blood,Detected and Quantified,30.0 (9.7 - 66.4) uM,Adolescent (13-18 years old),Both,Diabetes,17659063,details,HMDB0002712
Blood,Detected and Quantified,62.0 +/- 38.0 uM,Adult (>18 years old),Both,Diabetes,9357814,details,HMDB0002712
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Pancreatic Cancer,25429707,details,HMDB0002712
Blood,Detected and Quantified,50.0 (18.5 - 95.0) uM,Adult (>18 years old),Not Specified,Diabetes,16731998,details,HMDB0002712
Cerebrospinal Fluid (CSF),Detected and Quantified,41.7 +/-13.7  uM,Adult (>18 years old),Both,Alzheimer's disease,8595727,details,HMDB0002712
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Attachment loss,31026179,details,HMDB0002712
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Missing teeth,31026179,details,HMDB0002712
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Periodontal Probing Depth,31026179,details,HMDB0002712
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0002712
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0011103
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0011103
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0011103
Urine,Detected and Quantified,20.0 (5.7-32.0) umol/mmol creatinine,Adult (>18 years old),Both,Asthma,15537072,details,HMDB0011103
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0011103
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0003424
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0003424
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative Colitis,17314143,details,HMDB0003424
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0003424
Blood,Expected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0011729
Prostate Tissue,Detected and Quantified,0.5 (0.0-1.0) umol/g tissue,Adult (>18 years old),Both,Prostate Cancer,19212411,details,HMDB0011729
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0011729
Blood,Detected and Quantified,0.078 +/- 0.031 uM,Adult (>18 years old),Both,Leukemia,7482520,details,HMDB0003331
Blood,Detected and Quantified,0.0860 +/- 0.0095 uM,Adult (>18 years old),Female,Ovarian cancer,7482520,details,HMDB0003331
Blood,Detected and Quantified,0.370 +/- 0.050 uM,Adult (>18 years old),Both,Uremia,9607216,details,HMDB0003331
Blood,Detected and Quantified,0.105 +/- 0.036 uM,Adult (>18 years old),Both,Stomach cancer,7482520,details,HMDB0003331
Blood,Detected and Quantified,0.096 +/- 0.095 uM,Adult (>18 years old),Both,Hepatocellular cancer,7482520,details,HMDB0003331
Blood,Detected and Quantified,0.094 +/- 0.063 uM,Adult (>18 years old),Both,Cholangioma cancer,7482520,details,HMDB0003331
Blood,Detected and Quantified,0.134 +/- 0.111 uM,Adult (>18 years old),Both,Colon cancer,7482520,details,HMDB0003331
Blood,Detected and Quantified,0.150 +/- 0.010 uM,Adult (>18 years old),Both,Uremia,9607216,details,HMDB0003331
Blood,Detected and Quantified,0.220 +/- 0.430 uM,Adult (>18 years old),Both,Kidney disease,9607216,details,HMDB0003331
Blood,Detected and Quantified,0.310 +/- 0.010 uM,Adult (>18 years old),Both,Uremia,9607216,details,HMDB0003331
Blood,Detected and Quantified,0.370 +/- 0.200 uM,Adult (>18 years old),Both,Uremia,12675874,details,HMDB0003331
Blood,Detected and Quantified,0.145 uM,Adult (>18 years old),Female,Cervical cancer,7482520,details,HMDB0003331
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0003331
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0003331
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Female,Ovarian cancer,19010317,details,HMDB0003331
Urine,Detected and Quantified,4.7 +/- 1.3 umol/mmol creatinine,Adult (>18 years old),Both,Uremia,7482520,details,HMDB0003331
Blood,Detected and Quantified,0.099 +/- 0.021 uM,Adult (>18 years old),Both,Kidney disease,9607216,details,HMDB0001563
Blood,Detected and Quantified,0.140 +/- 0.0801 uM,Adult (>18 years old),Both,Uremia,12675874,details,HMDB0001563
Blood,Detected and Quantified,0.078 +/- 0.010 uM,Adult (>18 years old),Both,Uremia,9607216,details,HMDB0001563
Blood,Detected and Quantified,0.140 +/- 0.020 uM,Adult (>18 years old),Both,Uremia,9607216,details,HMDB0001563
Blood,Detected and Quantified,0.120 +/- 0.020 uM,Adult (>18 years old),Both,Uremia,9607216,details,HMDB0001563
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0001563
Urine,Detected and Quantified,0.97 +/- 0.33 umol/mmol creatinine,Adult (>18 years old),Not Specified,Breast cancer,15607313,details,HMDB0001563
Urine,Detected and Quantified,9.5 +/- 0.8 umol/mmol creatinine,Adult (>18 years old),Both,Uremia,9607216,details,HMDB0001563
Blood,Detected and Quantified,2.200 +/- 0.721 uM,Adult (>18 years old),Both,Uremia,12675874,details,HMDB0002721
Urine,Detected and Quantified,3.14 +/- 2.04 umol/mmol creatinine,Adult (>18 years old),Both,Breast cancer,9129323,details,HMDB0002721
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0002721
Blood,Detected and Quantified,0.099-0.851 uM,Adult (>18 years old),Both,Cirrhosis,2142586,details,HMDB0000699
Urine,Detected and Quantified,7.426 +/- 3.509 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000699
Urine,Detected and Quantified,3.0 (0.0-14.0) umol/mmol creatinine,Adult (>18 years old),Both,Lung cancer,22157537,details,HMDB0000699
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Autosomal dominant polycystic kidney disease (ADPKD),21389975,details,HMDB0000699
Urine,Detected and Quantified,37.00 (11.5-62.7) umol/mmol creatinine,Adult (>18 years old),Both,Pellagra,17709435,details,HMDB0000699
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0003099
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0003099
Urine,Detected and Quantified,7.04 +/- 1.57 umol/mmol creatinine,Adult (>18 years old),Both,Canavan disease,16139832,details,HMDB0003099
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0003099
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0010738
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0010738
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0010738
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0010738
Urine,Detected and Quantified,6.0 (4.0-10.0) umol/mmol creatinine,Adult (>18 years old),Both,Asthma,15537072,details,HMDB0010738
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0010738
Blood,Detected and Quantified,0.0071 +/- 0.0045 uM,Adult (>18 years old),Both,Parkinson's disease,11197147,details,HMDB0002017
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0002017
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0061697
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0061697
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0060038
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0060038
Blood,Detected and Quantified,0.0278 +/- 0.0060 uM,Elderly (>65 years old),Male,Kidney cancer,10622271,details,HMDB0004029
Blood,Detected and Quantified,0.0142 +/- 0.0039 uM,Elderly (>65 years old),Male,Kidney Cancer,10622271,details,HMDB0004029
Blood,Detected and Quantified,0.0336 +/- 0.0054 uM,Elderly (>65 years old),Female,Kidney Cancer,10622271,details,HMDB0004029
Blood,Detected and Quantified,0.0204 +/- 0.0034 uM,Elderly (>65 years old),Female,Kidney Cancer,10622271,details,HMDB0004029
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Schizophrenia,22024767,details,HMDB0002231
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0002231
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0002231
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0031072
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0031072
Blood,Detected and Quantified,0.310 +/- 0.064 uM,Adult (>18 years old),Both,Autosomal dominant polycystic kidney disease (ADPKD),18215696,details,HMDB0004667
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0004667
Urine,Detected and Quantified,467.0 +/- 67.0 umol/mmol creatinine,Adult (>18 years old),Both,Autosomal dominant polycystic kidney disease (ADPKD),18215696,details,HMDB0004667
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0061707
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0061707
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0061707
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0061709
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0061709
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0061709
Urine,Detected and Quantified,0.35 +/- 0.21 umol/mmol creatinine,Adult (>18 years old),Female,Thyroid cancer,14643447,details,HMDB0000352
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0037397
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0037397
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0037397
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Prostate cancer,20975847,details,HMDB0001926
Blood,Detected and Quantified,100.0 (5.0-211.0) uM,Adult (>18 years old),Both,Cirrhosis,3426740,details,HMDB0003156
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0003156
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0003156
Blood,Expected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0029649
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0029649
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0029649
Blood,Detected and Quantified,0.12 +/- 0.05 uM,Adult (>18 years old),Both,uremia,22626821,details,HMDB0001123
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0001123
Feces,Detected but not Quantified,Not Quantified,Children (1-13 years old),Both,Enthesitis-related arthritis,27786174,details,HMDB0001123
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0001123
Urine,Detected and Quantified,17.78 +/- 18.028 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0001123
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0001123
Blood,Expected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0034252
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0034252
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0034252
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0034252
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0094649
Feces,Detected and Quantified,46.228 (0-416.0559) nmol/g wet feces,Children (1 - 13 years old),Both,Autism,24130822,details,HMDB0031230
Feces,Detected and Quantified,115.571 (0-808.998) nmol/g wet feces,Children (1 - 13 years old),Both,Developmental Disorder Not Otherwise Specified,24130822,details,HMDB0031230
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Campylobacter jejuni infection,17314143,details,HMDB0031230
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Clostridium difficile infection,17314143,details,HMDB0031230
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative Colitis,17314143,details,HMDB0031230
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0031230
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0031230
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0000439
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,25037050,details,HMDB0000439
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0000439
Urine,Detected and Quantified,8.211 +/- 5.029 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000439
Urine,Detected and Quantified,24.894 +/- 16.09 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Gastroesophageal reflux disease,Analysis of 30 no...,details,HMDB0000439
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0000439
Blood,Detected and Quantified,6.9 (4.0)  uM,Adult (>18 years old),Female,Down syndrome pregnancy,23313728,details,HMDB0000407
Blood,Detected and Quantified,4.1 (2.8)  uM,Adult (>18 years old),Female,Pregnancy,23313728,details,HMDB0000407
Blood,Detected and Quantified,1237 uM,Infant (0-1 year old),Female,Maple syrup urine disease,6422161,details,HMDB0000407
Cerebrospinal Fluid (CSF),Detected and Quantified,809 uM,Newborn (0-30 days old),Female,Maple syrup urine disease,6422161,details,HMDB0000407
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000407
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000407
Urine,Detected and Quantified,2.375 +/- 2.017 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000407
Urine,Detected and Quantified,407.016 umol/mmol creatinine,Infant (0-1 year old),Male,Dihydrolipoamide Dehydrogenase Deficiency,6688766,details,HMDB0000407
Blood,Detected and Quantified,46.6 uM,Newborn (0-30 days old),Female,Maple syrup urine disease,6422161,details,HMDB0000317
Cerebrospinal Fluid (CSF),Detected and Quantified,17 uM,Newborn (0-30 days old),Female,Maple syrup urine disease,6422161,details,HMDB0000317
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000317
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Crohn disease,28842642,details,HMDB0000317
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000317
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Ulcerative colitis,28842642,details,HMDB0000317
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Tooth Decay,31026179,details,HMDB0000317
Urine,Detected and Quantified,13.765 +/- 12.068 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000317
Urine,Detected but not Quantified,Not Quantified,Not Available,Not Available,Dihydrolipoyl DH (E3) deficiency,11978597,details,HMDB0000317
Urine,Detected but not Quantified,Not Quantified,Not Available,Not Available,Maple syrup urine disease (MSUD),11978597,details,HMDB0000317
Blood,Expected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0062547
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,25037050,details,HMDB0062547
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0062547
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000321
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000321
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0000321
Urine,Detected and Quantified,1.0 (0.0-2.0) umol/mmol creatinine,Adult (>18 years old),Both,2-ketoadipic acidemia,MetaGene: Metabol...,details,HMDB0000321
Urine,Detected and Quantified,135.0 (50.0-220.0) umol/mmol creatinine,Children (1-13 years old),Both,2-Ketoadipic Acidemia,MetaGene: Metabol...,details,HMDB0000321
Urine,Detected and Quantified,80-170 umol/mmol creatinine,Children (1-13 years old),Not Specified,alpha-Aminoadipic aciduria,6796766,details,HMDB0000321
Urine,Detected and Quantified,20 umol/mmol creatinine,Infant (0-1 year old),Not Specified,alpha-ketoadipic aciduria,10503694,details,HMDB0000321
Urine,Detected and Quantified,12.9 umol/mmol creatinine,Newborn (0-30 days old),Not Specified,alpha-ketoadipic aciduria,10503694,details,HMDB0000321
Blood,Detected and Quantified,26.96 +/- 13.11  uM,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,23535240,details,HMDB0000008
Blood,Detected and Quantified,16.93 +/- 8.17 uM,Adult (>18 years old),Female,Pregnancy,23535240,details,HMDB0000008
Blood,Detected and Quantified,21.4 (5.6)  uM,Adult (>18 years old),Female,Early preeclampsia,22494326,details,HMDB0000008
Blood,Detected and Quantified,19.5 (7.4)  uM,Adult (>18 years old),Female,Pregnancy,22494326,details,HMDB0000008
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25105552,details,HMDB0000008
Blood,Detected and Quantified,17.13 (7.48)  uM,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,24704061,details,HMDB0000008
Blood,Detected and Quantified,16.69 (6.25)  uM,Adult (>18 years old),Female,Pregnancy,24704061,details,HMDB0000008
Blood,Detected and Quantified,28.0 (14.4)  uM,Adult (>18 years old),Female,Late-onset preeclampsia,23159745,details,HMDB0000008
Blood,Detected and Quantified,4.14(10.18) uM,Adult (>18 years old),Both,Heart failure with reduced ejection fraction,26010610,details,HMDB0000008
Blood,Detected and Quantified,21.2 (7.5)  uM,Adult (>18 years old),Female,Pregnancy,23159745,details,HMDB0000008
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Schizophrenia,22024767,details,HMDB0000008
Blood,Detected and Quantified,23.1 (14.1)  uM,Adult (>18 years old),Female,Down syndrome pregnancy,23313728,details,HMDB0000008
